date,case,death
1/1/2020,0,0
1/2/2020,0,0
1/3/2020,0,0
1/4/2020,0,0
1/5/2020,0,0
1/6/2020,0,0
1/7/2020,0,0
1/8/2020,0,0
1/9/2020,0,0
1/10/2020,0,0
1/11/2020,0,0
1/12/2020,0,0
1/13/2020,0,0
1/14/2020,0,0
1/15/2020,0,0
1/16/2020,0,0
1/17/2020,0,0
1/18/2020,0,0
1/19/2020,0,0
1/20/2020,0,0
1/21/2020,0,0
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,1,0
1/26/2020,3,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,2,0
1/31/2020,1,0
2/1/2020,2,0
2/2/2020,2,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,1,0
2/6/2020,1,0
2/7/2020,1,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,1,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,2,0
2/22/2020,4,0
2/23/2020,1,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,1,0
2/28/2020,0,0
2/29/2020,2,0
3/1/2020,1,1
3/2/2020,3,0
3/3/2020,4,0
3/4/2020,8,0
3/5/2020,11,1
3/6/2020,7,0
3/7/2020,4,0
3/8/2020,11,1
3/9/2020,6,0
3/10/2020,20,0
3/11/2020,12,0
3/12/2020,14,0
3/13/2020,30,0
3/14/2020,41,0
3/15/2020,52,0
3/16/2020,49,2
3/17/2020,77,0
3/18/2020,79,0
3/19/2020,111,1
3/20/2020,144,0
3/21/2020,165,1
3/22/2020,224,0
3/23/2020,611,0
3/24/2020,114,0
3/25/2020,600,1
3/26/2020,376,3
3/27/2020,367,2
3/28/2020,212,0
3/29/2020,431,1
3/30/2020,284,2
3/31/2020,464,3
4/1/2020,150,1
4/2/2020,269,1
4/3/2020,248,2
4/4/2020,324,7
4/5/2020,139,4
4/6/2020,57,2
4/7/2020,100,6
4/8/2020,112,3
4/9/2020,96,5
4/10/2020,100,2
4/11/2020,86,2
4/12/2020,51,3
4/13/2020,33,4
4/14/2020,44,0
4/15/2020,50,0
4/16/2020,42,2
4/17/2020,39,0
4/18/2020,36,4
4/19/2020,53,2
4/20/2020,26,1
4/21/2020,13,1
4/22/2020,22,3
4/23/2020,7,0
4/24/2020,13,1
4/25/2020,20,4
4/26/2020,16,2
4/27/2020,10,2
4/28/2020,12,1
4/29/2020,13,4
4/30/2020,8,2
5/1/2020,16,2
5/2/2020,5,1
5/3/2020,16,0
5/4/2020,18,2
5/5/2020,24,0
5/6/2020,24,1
5/7/2020,26,1
5/8/2020,21,0
5/9/2020,18,0
5/10/2020,15,0
5/11/2020,12,0
5/12/2020,7,0
5/13/2020,16,0
5/14/2020,11,1
5/15/2020,14,0
5/16/2020,30,0
5/17/2020,17,0
5/18/2020,9,0
5/19/2020,15,1
5/20/2020,8,0
5/21/2020,11,1
5/22/2020,2,0
5/23/2020,14,1
5/24/2020,11,1
5/25/2020,3,0
5/26/2020,9,0
5/27/2020,15,0
5/28/2020,6,0
5/29/2020,11,0
5/30/2020,23,0
5/31/2020,12,0
6/1/2020,10,0
6/2/2020,9,0
6/3/2020,17,0
6/4/2020,8,0
6/5/2020,11,0
6/6/2020,11,0
6/7/2020,4,0
6/8/2020,5,0
6/9/2020,5,0
6/10/2020,2,0
6/11/2020,9,0
6/12/2020,9,0
6/13/2020,5,0
6/14/2020,12,0
6/15/2020,18,0
6/16/2020,15,0
6/17/2020,12,0
6/18/2020,23,0
6/19/2020,21,0
6/20/2020,18,0
6/21/2020,27,0
6/22/2020,25,0
6/23/2020,13,0
6/24/2020,18,0
6/25/2020,29,1
6/26/2020,37,1
6/27/2020,37,0
6/28/2020,46,0
6/29/2020,45,0
6/30/2020,81,0
7/1/2020,67,0
7/2/2020,86,0
7/3/2020,81,0
7/4/2020,254,0
7/5/2020,107,0
7/6/2020,87,0
7/7/2020,137,2
7/8/2020,169,0
7/9/2020,131,0
7/10/2020,173,0
7/11/2020,300,0
7/12/2020,194,1
7/13/2020,244,1
7/14/2020,183,0
7/15/2020,271,0
7/16/2020,244,3
7/17/2020,315,2
7/18/2020,425,3
7/19/2020,206,2
7/20/2020,361,4
7/21/2020,267,1
7/22/2020,359,3
7/23/2020,468,2
7/24/2020,410,5
7/25/2020,289,6
7/26/2020,355,6
7/27/2020,453,10
7/28/2020,532,6
7/29/2020,369,6
7/30/2020,278,9
7/31/2020,721,13
8/1/2020,602,7
8/2/2020,377,4
8/3/2020,641,8
8/4/2020,395,13
8/5/2020,411,11
8/6/2020,715,15
8/7/2020,418,8
8/8/2020,410,11
8/9/2020,426,12
8/10/2020,386,17
8/11/2020,313,18
8/12/2020,316,18
8/13/2020,414,21
8/14/2020,231,9
8/15/2020,385,14
8/16/2020,292,4
8/17/2020,253,17
8/18/2020,311,25
8/19/2020,174,17
8/20/2020,220,12
8/21/2020,243,13
8/22/2020,171,9
8/23/2020,195,13
8/24/2020,210,17
8/25/2020,104,15
